Case Name,ID,Permalink,Summary,Case Categories,Jurisdictions,Principal Laws,Status,Reporter Info,Filing Year for Action,Core Object
"Elliott-Smith v. Secretary of State for Business, Energy and Industrial Strategy et al.",12885,https://climatecasechart.com/non-us-case/elliott-smith-v-secretary-of-state-for-business-energy-and-industrial-strategy-et-al/,"In December 2020, Georgia Elliott-Smith, a waste industry expert and environmental consultant, won permission to challenge two aspects of the UK Emissions Trading Scheme (UK ETS), which will replace the EU Emissions Trading Scheme in January 2021. Elliott-Smith alleges that the total emissions cap is too high to meet short and medium-term obligations under the Paris Agreement, and that the emissions cap unlawfully omits municipal waste incinerator emissions. She further alleges that the Climate Change Act of 2008 sets the purpose of the UK ETS as reducing emissions, whereas the government set the emissions cap for the improper purpose of easing the UK's exit from the EU. 

The plaintiff's challenge was dismissed in July 2021. However, in dismissing the case the court noted that its acceptance of the government's arguments did not require any denial of the ""the urgency of the need to address climate change and involves the recognition that in order to meet the long term requirements of the Paris Agreement action is required now. Taking measures in the short term is an essential part of achieving the longer term objective, and that approach is clearly tenable in the light of the provisions of article 4.1."" ",Suits against governments>GHG emissions reduction and trading>Other,United Kingdom>England and Wales>High Court of Justice,United Kingdom>UK Emissions Trading Scheme|United Kingdom>Climate Change Act 2008,Decided,,2020,Whether the UK Emissions Trading Scheme sets an improperly high emissions cap and unlawfully excludes incinerator emissions
Transport Action Network v. Secretary of State for Transport and Highway England Company (on Roads Investment Strategy),12890,https://climatecasechart.com/non-us-case/transport-action-network-v-secretary-of-state-for-transport-and-highway-england-company/,"On June 1, 2020, Transport Action Network (TAN) filed a suit in the High Court of Justice challenging the legality of the UK government's Second Roads Investment Strategy, covering the years 2020-2025, on climate and air pollution grounds. TAN, an environmental advocacy NGO, named the Secretary of State for Transport as the defendant and Highways England Company, appointed by the Secretary to implement the strategy, as an interested party. TAN listed four grounds for its suit: 1) the Secretary failed to take into account the impact of the roads strategy on achieving climate objectives, in violation of the Infrastructure Act of 2015 and the objectives of the Paris Agreement; 2) the Secretary unlawfully failed to establish a metric for measuring GHG emissions; 3) the Secretary unlawfully failed to ensure levels of air pollutants do not exceed limits set in air quality regulations; and 4) the Secretary unlawfully failed to carry out a Strategic Environmental Assessment of the roads strategy. 

On July 21, 2020, the High Court admitted the case on the first ground - that the Secretary unlawfully failed to take into account climate impacts. On October 19, 2020, TAN renewed its application for the court to admit the air pollution claims, and a hearing was held on the issue on October 29, 2020. 

On July 26, 2021, the High Court dismissed the case. The Court found that the Secretary of State for Transport, in approving the strategy, had given adequate regard to UK Policy on Climate Change. The Court upheld the Department of Transport's determination that the greenhouse gas emissions associated with the RIS were de minimis and not obviously material to the decision-making process. In the course of the judgment the Court also observed that ""there is nothing in the IA 2015 [Infrastructure Act 2015] which remotely resembles environmental decision-making.""",Suits against governments>GHG emissions reduction and trading>Other|Suits against governments>Environmental assessment and permitting>Other projects,United Kingdom>England and Wales>High Court of Justice,UNFCCC>Paris Agreement|United Kingdom>Infrastructure Act 2015|United Kingdom>Climate Change Act 2008,Decided,,2020,Whether the UK government's Second Roads Investment Strategy unlawfully fails to consider climate and air pollution impacts
Transport Action Network v. Secretary of State for Transport (on National Policy Statement),12894,https://climatecasechart.com/non-us-case/transport-action-network-v-secretary-of-state-for-transport-on-national-policy-statement/,"In 2020, a series of three linked legal challenges were brought by environmental NGO Transport Action Network (“TAN”) related to UK's road building policies. TAN argued the UK government acted unlawfully by not suspending and reviewing its ‘National Policy Statement on National Networks’, given what TAN claimed were significant changes in climate law and policy since the policy’s designation in 2014. The policy statement sets the strategy for the UK’s road building programme. The government has powers to suspend and review policy statements under the Planning Act 2008, and must take into account certain criteria when doing so.

TAN began with a series of pre-action letters, available on its website. They included requests to the government to suspend and review the policy statement in light of, amongst other matters, the new statutory target of net zero UK emissions by 2050. In October 2020, the government decided a review was not appropriate. This resulted in TAN’s first claim for judicial review (CO/4575/2020). That claim was then stayed as the government had stated that it would reconsider whether a review was appropriate. 

In February 2021, the government decided, for a second time, a review was not appropriate. This resulted in TAN’s second claim for judicial review, issued in April 2021 (CO/1482/2021). However, that claim became theoretical when the government made a fresh decision, in July 2021, to conduct a review, partly because of the increased stringency of climate change targets and policy. 

Nonetheless, the government declined to exercise its statutory power to suspend the policy statement pending its review.
This resulted in TAN’s third claim for judicial review, issued in September 2021 (CO/3011/2021), specifically challenging the decision not to suspend the policy statement. The High Court refused permission for that claim to proceed to a full hearing (firstly on the papers, and then following a permission hearing), bringing the legal challenges to an end.",Suits against governments>GHG emissions reduction and trading>Other|Suits against governments>Environmental assessment and permitting>Other projects,United Kingdom>England and Wales>High Court of Justice,United Kingdom>Climate Change Act 2008,Decided,,2020,"Whether the UK government's national policy statement on road building must be suspended and reviewed in light of new, more ambitious climate targets"
KEPCO Bylong Australia v. Independent Planning Commission and Bylong Valley Protection Alliance,12895,https://climatecasechart.com/non-us-case/kepco-bylong-australia-v-independent-planning-commission-and-bylong-valley-protection-alliance/,"On September 18, 2019, the Independent Planning Commission of New South Wales rejected KEPCO Bylong Australia's application to build the Bylong Valley coal mine on several grounds, including its contribution to climate change. The Commission's grounds of refusal included the failure to develop a plan to manage the Scope 3 greenhouse gas emissions associated with the project and the fact that ""the distribution of costs and benefits over and beyond the life of the mine [was] temporally inequitable in that the economic benefits accrue to the current generation and the environmental, agricultural and heritage costs are borne by future generations.""

KEPCO, a major Korean utility company, appealed the decision in the New South Wales Land and Environment Court on December 16, 2019. After the Commission declined to participate in the proceedings, the Bylong Valley Protection Alliance, a community group, successfully intervened and was joined as a second respondent.

On December 18, 2020, the Court rejected KEPCO's appeal, upholding the Independent Planning Commission's findings that the mine was contrary to the principles of ecologically sustainable development and would have problematic climate impacts.

On March 19, 2021, KEPCO subsequently submitted another appeal to the NSW Court of Appeal. On August 25, 2021, the Court dismissed the appeal. The Court found that the Commission had adequately found that KEPCO had not proposed to minimize GHG emissions and that the State Climate Change Policy concerning GHG emissions was applicable. 

On October 14, 2021, KEPCO applied for special leave to appeal the decision to the High Court in a final bid to overturn the refusal. The High Court declined to grant special leave, meaning KEPCO has exhausted all legal avenues to challenge the refusal. 
",Suits against governments>Environmental assessment and permitting>Natural resource extraction,Australia>New South Wales>Land and Environment Court|Australia>New South Wales>Court of Appeals,Australia>Environmental Planning and Assessment Act 1979 (NSW)|Australia>Land and Environment Court Act (1979)|Australia>State Environmental Planning Policy (Mining,Decided,392909 of 2019; [2020] NSWLEC 38; [2020] NSWLEC 179; [2021] NSWCA 216,2019,Whether a planning commission's rejection of a coal mine on sustainability and climate grounds was unlawful
Conservation Council of Western Australia v. Hatton and Woodside,12899,https://climatecasechart.com/non-us-case/conservation-council-of-western-australia-v-hatton-and-woodside/,"On December 21, 2020, the Conservation Council of Western Australia (CCWA) filed suit against the former chairman of the Western Australia EPA and the natural gas company Woodside, alleging that the EPA had allowed Woodside to process unlimited amounts of gas at two plants, in violation of the state's Environmental Protection Act. According to news reports, CCWA alleges that the state EPA had previously only allowed the plants to process gas from particular sources. Then, in July 2019, EPA made two decisions allowing the plants to process gas from any source, made under provisions of the Environmental Protection Act that allows minor changes to previous approvals without significant assessment. CCWA alleges that the environmental and climate impacts were major and should have triggered the full consideration of the EPA. According to news reports, Woodside is partnering with Shell, BP, Chevron, and BHP to extract, transport, and process the gas as part of the Burrup Hub project. 


At a three day hearing commencing on December 20, 2021, CCWA told the court that the former chairman of the Western Australia EPA (Hatton) had to “engage in his own intellectual process” when approving recommendations by the EPA to allow the plants to process gas from any source. The Court rejected this argument, saying that CCWA had not established the chair did not consider the possible environmental and climate impacts and had not proved the chair made an error.
","Suits against governments>Environmental assessment and permitting>Natural resource extraction|Suits against corporations, individuals>Corporations>Environmental assessment and permitting",Australia>Western Australia>Supreme Court,Australia>Environmental Protection Act (Western Australia),Decided,CIV 2246 of 2020; CIV 2247 of 2020; [2022] WASC 58; [2022] WASC 59,2020,Whether the state EPA's allowing expanded natural gas sourcing violated the state Environmental Protection Act due to environmental and climate impacts
Friends of the Earth v. UK Export Finance,12902,https://climatecasechart.com/non-us-case/friends-of-the-earth-v-uk-export-finance/,"In September 2020, Friends of the Earth England Wales and Northern Ireland brought a legal challenge against UK Export Finance’s decision (the “Decision”) to provide over $1 billion of UK taxpayers’ money to help finance a liquefied natural gas (“LNG”) project off the coast of Mozambique. Through the project, the energy company Total (an interested party) aims to extract 43 million tonnes of LNG per year for 32 years. This will result in total combustion emissions of 4.3 billion tonnes of CO2e: more than the total annual emissions for all 27 countries within the EU.

This case is not concerned with whether, or the extent to which, the UK government should have considered the Paris Agreement in reaching its decision. Rather, it is concerned with whether, having concluded that both the project and its financing were compatible with the UK and Mozambique’s obligations under the Agreement, and having taken the decision on that basis, the decision was lawful.
In March 2022 the High Court issued a judgment with a split two-judge court. One of the judges ruled: (a) the government erred as it had no rational basis to conclude financing the project was consistent with article 2(1)(c) of the Paris Agreement; (b) government ministers approving the deal were misled; and (c) for finance flows to be aligned to the Paris Agreement, they must be demonstrably aligned with the Agreement’s temperature goals. The second judge ruled the decision was lawful. He held the court should give the government latitude in deciding for itself what enquiry to make, for example when quantifying climate impacts, and that the court should only scrutinise the government’s decision lightly. The claim proceeded to the Court of Appeal.

In January 2023 the Court of Appeal gave judgment, unanimously dismissing Friends of the Earth’s appeal. The court held:
1) On the standard of review, the government was only required to adopt a ‘tenable’ view of what the Paris Agreement meant. It was not required to adopt a correct view, as Friends of the Earth had argued (relying on the Vienna Convention).
2) In this case the government had adopted a tenable view.
3) It was not irrational to make the decision to fund such a project without quantifying its scope 3 emissions. The project would have gone ahead with or without finance from UK Export Finance, the absolute quantification of scope 3 emissions would not have answered the nuanced question of whether the financing was compatible with the UK’s obligations under the PA, and the obligations in question were not absolute requirements to restrict the increase in global average temperature and to make finance flows consistent with a low-emissions pathway and climate-resilient development, but rather, these were only some of the purposes of the PA.

Though the court declined to construct the PA’s precise meaning, it held that:
•	The actions required by Articles 4, 7, 9, 10, 11 and 13 are not merely aims and aspirations, as one of the lower judges held, but are to be taken with the aim of strengthening the global response to the threat of climate change, in the context of sustainable development and efforts to eradicate poverty and for purposes including achieving the temperature goals and making finance flows consistent with a low-emissions pathway.
•	The temperature goal in article 2(1)(a) is a clear objective of the PA, to which all parties committed.
•	It was not clear to what extent the project would contribute to the fossil fuel transition, and it was not necessary for the respondents to take any firm view as to the precise nature of the UK’s obligations under the PA, only as to what was not required of the UK, namely that article 2(1)(c) does not create an obligation for the UK to show that its decision on overseas funding is consistent with a low-emissions pathway. Because the respondents were advised that the project could, in some scenarios, align with the UK’s obligations under the PA, the decision was not irrational.

In June 2023 the Supreme Court refused Friends of the Earth permission to appeal the Court of Appeal’s decision, bringing the litigation to an end.",Suits against governments>Environmental assessment and permitting>Natural resource extraction,United Kingdom>England and Wales>Court of Appeal>Court of Appeal (Civil Division)|United Kingdom>England and Wales>High Court of Justice,UNFCCC>Paris Agreement,Decided,"[2022] EWHC 568 (Admin), [2023] EWCA Civ 14",2020,Whether the UK government's decision - that its financing of a liquified natural gas project in Mozambique aligned with its climate commitments - breached public law duties.
Greenpeace Netherlands v. State of the Netherlands,13004,https://climatecasechart.com/non-us-case/greenpeace-netherlands-v-state-of-the-netherlands/,"On October 7, 2020, Greenpeace Netherlands filed suit alleging that the Dutch government's bailout package for airline KLM violated the State's duty of care to prevent the high risk of dangerous climate change. In a notice of possible legal procedure sent to the Dutch government in advance of the suit, plaintiffs cited the European Convention on Human Rights and the Paris Agreement as establishing that duty of care, and the Dutch Supreme Court's Urgenda decision as affirming the duty of care. Plaintiffs alleged that by failing to attach binding climate conditions to the 3.4 billion euro bailout package, the government violated human rights. Greenpeace sought a court order either prohibiting the State from providing financial support or conditioning such support on KLM setting a cap on CO2 emissions by the airline.  

On December 9, 2020, the Hague District Court judge rejected Greenpeace's claim on the grounds that the State does not have a legally enforceable obligation to attach climate conditions to the bailout package. The judge reasoned that the executive has a high level of discretion in acting to respond to the coronavirus crisis, and that a judge is limited in such situations to intervening only where a positive legal right has been violated. The judge found no such right here because the Paris Agreement and other international climate treaties do not commit parties to reducing emissions from cross-border aviation. Further, the judge noted that the sustainability conditions that were included in the bailout package were fully in line with the Netherlands' international climate obligations. ",Suits against governments>Human Rights>Other|Suits against governments>GHG emissions reduction and trading>Other,Netherlands>The Hague>District Court,UNFCCC>Paris Agreement|European Convention on Human Rights,Decided,,2020,Whether the Dutch government violated its duty of care to prevent dangerous climate change by failing to attach stringent climate conditions to its coronavirus bailout package of the airline KLM. 
ClientEarth v. European Investment Bank,13009,https://climatecasechart.com/non-us-case/clientearth-v-european-investment-bank/,"On April 12, 2018, the European Investment Bank (EIB) agreed to provide a 60 million euro loan to build a 50 megawatt biomass power plant in Spain. Environmental NGO ClientEarth submitted a request on August 9, 2018, to the EIB for internal review of that decision. ClientEarth disputed that the project would contribute to renewable energy objectives because, in part, it overestimated environmental advantages associated with biomass and underestimated logging and forest fire emission risks. On October 30, 2018, EIB rejected the request as inadmissible on the grounds that its financing decision was not an ""administrative act"" nor was the decision taken ""under environmental law"" as defined in the Aarhus Convention and therefore was not subject to internal review.

ClientEearth filed suit on January 8, 2019, in the EU General Court against the European Investment Bank (EIB), alleging that the bank had improperly rejected ClientEarth's petition for an internal review of the Bank's decision to finance a biomass power plant. ClientEarth argued that in rejecting its petition for internal review, the EIB misapplied the Aarhus Convention on access to information, public participation in decision-making and access to justice in environmental matters.

The EU General Court issued a decision on January 27, 2021, issuing an order that the EIB must accept ClientEarth's petition for internal review. The Court found that the financing decision was taken ""under environmental law"" because all acts of public authorities which may violate environmental law, regardless of whether the institution is formed by environmental law, should be subject to internal review. Here the EIB's decision was based on an assessment of whether it met renewable energy goals and therefore impacted environmental law. Further, the Court found that the decision was an ""administrative act"" despite the terms and conditions of the loan not yet being set because it produced definitive legally binding effects on third parties by enabling others to take steps to formalize the loan.

On April 2, 2021, the EIB appealed the decision with the European Court of Justice. The EIB alleges that the General Court, under the Aarhus Convention, misconstrued the notion of an ‘administrative act’, that the EIB decision to approve the loan does not have ‘legally binding and external effect’, and that the General Court was wrong when it classified the EIB’s decision as ‘adopted under environmental law’. The case is now pending before the Court of Justice.",Suits against governments>GHG emissions reduction and trading>Other,European Union>European Court of Justice|European Union>General Court (known as Court of First Instance before 2010),European Union|Aarhus Convention on Access to Environmental Information,Appealed,T-9/19 (General Court case) and C-212/21 P (ECJ case),2019,Whether finance decisions by the European Investment Bank may be subject to requests for internal review under the Aarhus Convention over their potential environmental harm. 
Greenpeace East Asia and others v. Ministry of Economic Affairs,13015,https://climatecasechart.com/non-us-case/greenpeace-east-asia-and-others-v-ministry-of-economic-affairs/,"On February 3, 2021, Greenpeace East Asia, the Environmental Jurists Association, and four individual plaintiffs filed suit against Taiwan's Ministry of Economic Affairs (MOEA), alleging that the agency's Regulation for Large Power Consumers was not ambitious enough, in violation of the country's climate laws. MOEA's Regulation for Large Power Consumers entered into force on January 1, 2020 and requires large consumers to transition 10% of their contracted capacity to renewable energy. Plaintiffs challenge two aspects of the regulations. They argue that the regulations improperly applied only to 10% of contracted capacity, rather than 20% of actual consumption; and the regulations improperly raised the threshold for who qualifies as a large power consumer to 5,000kWh, exempting 90% of large company consumers. Plaintiffs argue that the defects are in violation of the Greenhouse Gas Reduction and Management Act and the Renewable Energy Development Act, which set a 20% renewable energy goal by 2025. Plaintiffs seek a court order for the MOEA to amend the Regulation for Large Power Consumers. According to the plaintiffs, this is the first citizen suit in Taiwan seeking a reduction in carbon emissions. ",Suits against governments>GHG emissions reduction and trading>Other,Taiwan>Taipei Administrative Court,Taiwan>Renewable Energy Development Act|Taiwan>Greenhouse Gas Reduction and Management Act,Pending,,2021,"Whether Taiwan's Regulation for Large Power Consumers was not sufficiently ambitious, in violation of the country's climate laws. "
Segovia et al. v. Climate Change Commission,13017,https://climatecasechart.com/non-us-case/segovia-et-al-v-climate-change-commission/,"In 2017, petitioners sued the Government of the Philippines seeking to reduce air pollution from vehicular emissions. They argued that the government’s failure to address air pollution was prejudicing life, health, and the property of all Filipinos. Petitioners alleged that the government should reduce “personal and official consumption of fossil fuels” by at least 50%. They asserted that the government should (i) reduce vehicular traffic by implementing road sharing with pedestrians and cyclists, (ii) devote public open spaces to sustainable urban farming, and (iii) allocate more budget to mitigating environmental pollution. The petitioners had sought the writs of kalikasan (protection of constitutional rights to a healthy environment) and continuing mandamus to compel the Presidentially-created Climate Change Commission to implement a variety of measures to promote biking and walking and disincentivize car travel. Petitioners based their claims in the Philippine Constitution and Executive Order 774, which designates a task group to reform the transportation sector and follow the principle ""those who have less in wheels must have more in road."" 

However, on March 7, 2017 the Supreme Court of the Philippines dismissed the lawsuit for failing to establish the requisites for the issuance of the writs. The Court found that petitioners had not established that the Commission was guilty of violation or neglect of environmental laws as required by the writ of kalikasan. Further, petitioners failed to prove direct or personal injury arising from the government's failure to act, as required by the writ of continuing mandamus. The court accepted the government’s evidence that it was implementing environmental laws and prioritizing programs aimed at addressing and mitigating climate change. ",Suits against governments>Human Rights>Other|Suits against governments>GHG emissions reduction and trading>Other,Philippines>Supreme Court,Philippines>Executive Order No. 774|Philippines>Filipino Constitution of 1987,Decided,,2017,Whether the Philippine government's Climate Change Commission violated the constitution by failing to enact ambitious climate-related transportation measures. 
RWE v. the Netherlands,13168,https://climatecasechart.com/non-us-case/rwe-v-kingdom-of-the-netherlands/,"On February 2, 2021, German utility RWE filed suit against the Netherlands government under the Energy Charter Treaty alleging that the government failed to allow adequate time and resources to transition away from coal. The Energy Charter Treaty, signed by 55 Parties, aims to protect foreign investments in energy and allows foreign investors to to claim compensation through arbitration for unfair losses due to government regulation. The Netherlands government plans to phase out all coal-fired power plants by 2030. According to news reports, RWE alleges that this policy does not include adequate compensation to phase out or transition to biomass its coal-fired Eemshaven power plant in the Netherlands. ",Suits against governments>Trade and Investment>Climate-justified measures,International Centre for Settlement of Investment Disputes,Energy Charter Treaty,Pending,ICSID Case No. ARB/21/4,2021,Whether the Netherlands' plan to phase out coal by 2030 violates the Energy Charter Treaty.
Hanuman Laxman Aroskar v. Union of India,13170,https://climatecasechart.com/non-us-case/hanuman-laxman-aroskar-v-union-of-india/,"On March 29, 2019, the Supreme Court of India suspended the environmental clearance for an airport in the State of Goa and ordered the government to revisit the clearance. Petitioners, citizen Hanuman Laxman Aroskar and NGO Federation of Rainbow Warriors challenged the clearance in the Supreme Court. The Court suspended the airport's environmental clearance on the grounds that the government failed to take into account impacts on the environment that were crucial to the environmental assessment process. The Court reasoned that ""[f]undamental to the outcome of this case is a quest for environmental governance within a rule of law paradigm."" The Court then cited both the Paris Agreement and India's Nationally Determined Contribution to the Paris Agreement as key aspects of India's environmental rule of law and as reasons that the government was required to adequately balance environmental concerns with airport development goals. 

On January 16, 2020, after additional submissions by the airport project proponents, the Supreme Court lifted its suspension of the environmental clearance, allowing the airport project to go forward. The government took notice of the addition environmental impact information provided, including a commitment to make the airport a ""zero carbon airport operation,"" and imposed addition environmental conditions on the project. The Court reasoned that the government had adequately addressed concerns outlined in its 2019 decision. The Court also appointed the National Environmental Engineering Research Institute to oversee compliance with the government's environmental conditions and ordered the project proponents to pay the costs of oversight. ",Suits against governments>Environmental assessment and permitting>Other projects,India>Supreme Court,UNFCCC>Paris Agreement|India>Constitution,Decided,,2018,Whether the Indian government's approval of a new airport adequately considered environmental impacts
"Petition to the Inter-American Commission on Human Rights Seeking to Redress Violations of the Rights of Children in Cité Soleil, Haiti",13174,https://climatecasechart.com/non-us-case/petition-to-the-inter-american-commission-on-human-rights-seeking-to-redress-violations-of-the-rights-of-children-in-cite-soleil-haiti/,"On February 4, 2021, Haitian children petitioned the Inter-American Commission on Human Rights to redress human rights violations stemming from waste disposal in their residential district. The petition lays out a factual background of toxic trash disposal from Port-Au-Prince in the residential district of Cité Soleil, which causes short and long term health harms most acutely affecting children. The petition includes a discussion of climate change's exacerbation of the harms to children through environmental displacement and exacerbation of waterborne diseases. Petitioners allege violations of the American Convention's Rights of the Child (Article 19), the Right to Dignity (Article 11), the Right to Live in a Healthy Environment (Articles 4, 26), and the Right to Judicial Protection (Article 25). The Commission is expected to first decide whether to assert jurisdiction. ",Suits against governments>Human Rights>Youth/Children,Inter-American System of Human Rights>Inter-American Commission on Human Rights,American Convention on Human Rights>San Salvador Protocol,Pending,,2021,"Whether the health harms from trash disposal, exacerbated by climate change, violate Haitian children's human rights. "
Greenpeace Mexico v. Ministry of Energy and Others (on the National Electric System policies),13356,https://climatecasechart.com/non-us-case/greenpeace-mexico-v-ministry-of-energy-and-others-on-the-national-electric-system-policies/,"On May 25, 2020, Greenpeace Mexico filed a lawsuit against the Mexican government contesting the constitutionality of two electricity sector policies that would limit renewables. Greenpeace Mexico asked the Administrative Court to declare the policies unconstitutional for violating the rights to a healthy environment and sustainable development and for obstructing Mexico's compliance with its international commitments to tackle climate change. The two policies challenged were the National Centre of Energy Control (CENACE) Agreement ""to ensure the efficiency, quality, reliability, continuity and safety of the National Electric System, on the occasion of the COVID-19 epidemic"" and the Ministry of Energy policy of ""Reliability, Security, Continuity and Quality in the National Electrical System."" The former ordered the suspension of certain wind and photovoltaic power plants in operation or on the approval stage prior to commercial operation. The latter supported the CENACE Agreement's suspension of renewable energy power plant operation and the promotion of oil-based power generation. Greenpeace filed the case in the Mexico City's Second District Administrative Court Specialized in Economic Competition, Broadcasting, and Telecommunications.

On June 23, 2020, the district court issued a preliminary injunction to suspend the effects of the contested acts. On November 17, 2020, the district court held its main hearing. The Court then issued its judgment that the public policies were unlawfully modifying the rules of the energy market, and were violating the right to a healthy environment of Mexicans. The government appealed the decision to the First Circuit Collegiate Tribunal.

The Court decided the contested acts were unconstitutional. First, authorities were not competent to issue the policies. Furthermore, the policies violate the human right to a healthy environment, as well as (i) the United Nations Framework Convention on Climate Change, (ii) the Kyoto Protocol, and (iii) the Paris Agreement (all ratified by Mexico), by imposing a policy that displaces renewable energies, which prevents Mexico from meeting the greenhouse gas (GHG) emission reductions targets to which it committed. The Court considered that the production and consumption of fossil fuels affect the environment to a greater extent, due to the amount of GHG and compounds they produce. The implementation of its provisions undoubtedly implies a risk of damage to the right to a healthy environment, since it encourages the operation of conventional power plants that generate a greater amount of emissions that pollute the environment. The risk of environmental damage is projected in both dimensions (individual and collective), since, on the one hand, it can affect individual health of people and, on the other hand, it does not contribute to mitigate the effects of climate change, which impacts on the universal interest owed to present and future generations to preserve and protect natural resources. Finally, the policies also imply the implementation of regressive measures in relation to the right to a healthy environment, because instead of contributing to increase the goals of minimum participation of clean energies in the generation of electric energy, they reduce or inhibit their progress. The principles upon which the judge based his decision are: (i) in dubio pro natura, (ii) civic participation, (iii) non-regression principle and, (iv) the inclusion of future generations in the notion of progress (any unjustified and significant decrease in the level of environmental protection achieved will affect the heritage to be passed on to the next generation).",Suits against governments>Human Rights>Right to a healthy environment,Mexico>First Circuit Collegiate Tribunal|Mexico>District Court in Administrative Matters,Mexico>Electricity Industry Law|Mexico>General Law on Climate Change|Mexico>Constitution,Decided,Amparo No. 104/2020,2020,Whether National Electric System policies are unconstitutional for discriminating against renewables. 
Global Legal Action on Climate Change v. The Philippines Government,13366,https://climatecasechart.com/non-us-case/global-legal-action-on-climate-change-v-the-philippines-government/,"A group called Global Legal Action on Climate Change (GLACC) filed a petition against various government departments including the Climate Change Commission, the Department of Public Works and Highways, the Department of Interior, and Local Government with the Supreme Court of the Philippines seeking relief from dangers arising from flooding, which is expected to become worse and more consequential to Filipinos as climate change intensifies. Specifically, GLACC sought a writ of mandamus from the court that would order government agencies to act on the provisions of two statutes pertaining to flood control: Republic Act 6716 ”the Rainwater Collector and Springs Development Law” requires each Filipino locality to have and maintain a rainwater collector to ensure fresh drinking water is available in times of flooding; Act 7160 or the Local Code of 1991, which establishes the responsibilities of local governments in relation to water management. The suit builds on the writ of kalikasan issued by the Supreme Court in 2009, which established both a Filipino right to environmental protection and a channel for seeking relief from infractions of that right. The petition alleges that noncompliance with the two statutes is rife and increasingly harmful as the Philippines ”the world's most typhoon-prone nation” experiences more frequent and severe storms and flooding. The case was settled when the defendant government departments signed a Memorandum of Understanding and submitted a work plan committing to carry out the required works.",Suits against governments,Philippines>Supreme Court,Philippines>Act 6716: The Rainwater Collector and Springs Development Law|Philippines>Act 7160: Local Government Water Management Law|Philippines>Filipino Constitution of 1987,Decided,,2010,Local government officials' compliance with 1989 law relating to water provision and flood control
Association for Protection of Democratic Rights v. The State of West Bengal and Others,13379,https://climatecasechart.com/non-us-case/association-for-protection-of-democratic-rights-v-the-state-of-west-bengal-and-others/,"On March 25, 2021, the Supreme Court of India issued an order establishing an expert committee to ""[d]evelop a set of scientific and policy guidelines that shall govern decision making with respect to cutting of trees for developmental projects."" The order came in response to a petition challenging the government of West Bengal's plans to cut hundreds of trees, some up to 150 years old, in order to construct roads over bridges and widen roads. In considering whether the plan was in accord with the constitutional right to a healthy environment and India's sustainable development commitments, the Court emphasized the need to consider the impact of such projects on carbon sequestration and climate change. The Court noted ""that the issue assumes significance from the perspective of climate change as a growing national and international concern"" and noted India's climate commitment to increase tree cover from 23% to 33%. The Court then constituted the committee, comprised of seven members, and instructed it to produce the guidelines within four weeks of its first meeting.",Suits against governments>Environmental assessment and permitting>Other projects,India>Supreme Court,UNFCCC>Paris Agreement|India>o National Action Plan on Climate Change of 2008|India>Constitution,Pending,SPECIAL LEAVE PETITION (CIVIL) NO. 25047 OF 2018,2018,Whether the State of West Bengal may cut hundreds of trees in order to construct and widen roads.
Friends of the Earth et al. v. Prefect of of Bouches-du-Rhône and Total,13381,https://climatecasechart.com/non-us-case/friends-of-the-earth-et-al-v-prefect-of-of-bouches-du-rhone-and-total/,"On April 1, 2021, the Administrative Court of Marseille partially invalidated Total's permit to operate a biorefinery in France and directed the company to study the climate impacts of imported palm oil. NGO plaintiffs alleged that the Prefect of Bouches-du-Rhône, in authorizing the continued operation of the refinery, failed to take into account the climate and other environmental impacts of palm oil production and use. The Court agreed that the decision authorizing the operation of the plant relied on insufficient information on climate impacts, and ordered a new study on the cumulative direct and indirect climate effects of the biorefinery project.","Suits against corporations, individuals>Corporations>Environmental assessment and permitting|Suits against governments>Environmental assessment and permitting>Other projects",France>Administrative Court of Marseille,France>French Environmental Code|European Union>Secondary Law>Directives>2009/28/EC,Pending,,2018,Whether a permit to operate a biorefinery must take into account climate impacts of palm oil production and use.
